GEOID,name,total_population_17,total_population_25_over_17,median_income_17,median_home_value_17,educational_attainment_17,white_alone_17,black_alone_17,native_alone_17,asian_alone_17,native_hawaiian_pacific_islander_17,some_other_race_alone,two_or_more,hispanic_or_latino_17,city,metro_area,state,county,tract,total_population_00,white_alone_00,black_alone_00,native_alone_00,asian_alone_00,native_hawaiian_pacific_islander_00,hispanic_or_latino_00,total_population_25_over_00,median_income_00,median_home_value_00,educational_attainment_00
24031705300,"Census Tract 7053, Montgomery County, Maryland",1924,1313.0,250001.0,1616000.0,1181.0,1701.0,15.0,8.0,33.0,3.0,14.0,34.0,116.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7053,1976.0,1857.0,20.0,1.0,49.0,0.0,35.0,1331.0,200001.0,771700.0,1155.0
24031705601,"Census Tract 7056.01, Montgomery County, Maryland",2929,1938.0,235938.0,865300.0,1721.0,2352.0,55.0,10.0,212.0,0.0,0.0,149.0,161.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7056.01,2652.0,2333.0,45.0,2.0,125.0,0.0,135.0,1867.0,113956.0,377300.0,1585.0
24031706008,"Census Tract 7060.08, Montgomery County, Maryland",5546,3578.0,218431.0,1328300.0,2930.0,4037.0,134.0,0.0,971.0,0.0,0.0,131.0,273.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7060.08,5324.386532,4285.360352000001,134.2282257,5.965699196,676.1125488,0.0,191.89665219999998,3454.139893,200000.9935,787199.9870000001,2790.9528809999997
24031700101,"Census Tract 7001.01, Montgomery County, Maryland",4413,3082.0,162171.0,655100.0,1872.0,3130.0,328.0,0.0,466.0,0.0,0.0,96.0,393.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7001.01,3848.8037229999995,3270.843593,270.97636580000005,8.999791691,178.9886641,0.0,105.9957485,2602.851193,127526.9856,345694.119,1533.91163
24031700205,"Census Tract 7002.05, Montgomery County, Maryland",10427,6714.0,137121.0,467900.0,4140.0,4917.0,1139.0,0.0,2542.0,0.0,0.0,568.0,1261.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7002.05,5198.366781000001,4659.999514,137.1790816,18.01718814,190.0541408,0.0,170.1107878,3140.427809,90382.66017,235765.9036,1833.4670839999999
24031700500,"Census Tract 7005, Montgomery County, Maryland",6783,4307.0,138427.0,523300.0,2093.0,5411.0,457.0,33.0,208.0,0.0,0.0,61.0,613.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7005,6439.958879,5765.961207,350.0010432,41.99960221,81.99923662,0.9999787809999999,179.99784619999997,4049.9817789999997,82082.03282000001,215900.8917,1666.990648
24031700607,"Census Tract 7006.07, Montgomery County, Maryland",7821,5106.0,176184.0,697600.0,4058.0,2970.0,507.0,0.0,3894.0,0.0,24.0,163.0,263.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7006.07,7957.0,4158.0,283.0,6.0,3220.0,6.0,259.0,4659.0,107386.0,315300.0,3480.0
24031700811,"Census Tract 7008.11, Montgomery County, Maryland",4339,2694.0,82167.0,264600.0,948.0,1166.0,1082.0,18.0,496.0,9.0,12.0,173.0,1401.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7008.11,3719.470262,1926.689575,959.3475342,19.98640633,242.8348389,0.9993203279999999,523.6438598999999,2387.376221,65792.00179,132800.0014,956.3495482999999
24031700817,"Census Tract 7008.17, Montgomery County, Maryland",6459,4949.0,89970.0,499000.0,3109.0,2437.0,1219.0,0.0,1517.0,0.0,0.0,486.0,800.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7008.17,4434.0,2706.0,470.0,17.0,877.0,0.0,329.0,3235.0,64438.0,143400.0,1971.0
24031701102,"Census Tract 7011.02, Montgomery County, Maryland",6527,4463.0,84652.0,352500.0,1571.0,2058.0,425.0,78.0,789.0,0.0,0.0,222.0,3033.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7011.02,5687.979319,3348.987793,394.9985657,42.9998436,614.9977417,4.99998188,1247.995483,3836.9860840000006,59487.000360000005,147399.9998,1150.99585
24031701306,"Census Tract 7013.06, Montgomery County, Maryland",3045,2100.0,150588.0,590200.0,1354.0,2546.0,89.0,0.0,146.0,0.0,0.0,78.0,186.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7013.06,2957.383618,2444.490479,171.9641571,11.99749947,211.95582579999999,0.0,110.97686770000001,1948.593872,103111.0028,287300.0067,1183.753296
24031701201,"Census Tract 7012.01, Montgomery County, Maryland",5971,4110.0,68601.0,362200.0,1590.0,2668.0,335.0,62.0,1080.0,1.0,18.0,135.0,1734.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7012.01,5888.545136,3154.455133,369.1787599,34.9953476,1004.8393039999999,0.999909912,1262.083838,4263.5321619999995,60819.730220000005,167093.6972,1650.669954
24031701205,"Census Tract 7012.05, Montgomery County, Maryland",6746,4636.0,155950.0,875600.0,3769.0,4755.0,558.0,0.0,595.0,0.0,54.0,378.0,406.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7012.05,5585.347266,4871.558594,83.97515106,11.99645042,343.89822389999995,0.0,224.9334412,3898.8461909999996,140218.9992,409899.99299999996,3072.091064
24031701210,"Census Tract 7012.10, Montgomery County, Maryland",3949,2743.0,207143.0,815300.0,2412.0,2688.0,242.0,8.0,767.0,27.0,0.0,31.0,194.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7012.10,3898.824479,3146.781982,87.49253082,9.830621719,452.20858760000004,0.0,201.5277405,2701.454834,141125.9954,382499.9991,2160.7705079999996
24031701303,"Census Tract 7013.03, Montgomery County, Maryland",3427,2527.0,154345.0,608000.0,1894.0,2615.0,395.0,0.0,248.0,0.0,0.0,83.0,86.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7013.03,3756.542693,3138.782227,178.9305878,11.99534607,347.8650513,0.0,68.97324371,2660.967773,117749.0004,311600.0013,1777.3105469999998
24031701409,"Census Tract 7014.09, Montgomery County, Maryland",4741,3386.0,125694.0,479000.0,1752.0,1664.0,1134.0,0.0,844.0,0.0,222.0,182.0,695.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7014.09,3942.0,2627.0,468.0,8.0,702.0,0.0,133.0,2595.0,89614.0,245200.0,1398.0
24031701503,"Census Tract 7015.03, Montgomery County, Maryland",6910,5047.0,115208.0,390600.0,2137.0,2011.0,2457.0,0.0,1230.0,0.0,200.0,127.0,885.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7015.03,6385.730411,3303.98187,1380.531213,31.02727023,1188.541009,0.0,455.5851855,4362.050411,80378.57358,198827.5591,2148.591014
24031702402,"Census Tract 7024.02, Montgomery County, Maryland",4306,3109.0,68575.0,526400.0,2201.0,2330.0,1125.0,0.0,208.0,0.0,0.0,231.0,412.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7024.02,4582.0,1487.0,1907.0,24.0,304.0,1.0,833.0,3091.0,41037.0,180600.0,1351.0
24031703201,"Census Tract 7032.01, Montgomery County, Maryland",7946,5514.0,111264.0,418300.0,2795.0,3711.0,516.0,0.0,1100.0,97.0,70.0,389.0,2063.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7032.01,6870.0,4369.0,574.0,46.0,902.0,1.0,927.0,4859.0,80573.0,190200.0,2236.0
24031703215,"Census Tract 7032.15, Montgomery County, Maryland",3295,2202.0,79881.0,446000.0,944.0,848.0,884.0,0.0,370.0,21.0,36.0,63.0,1073.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7032.15,2997.0,1157.0,997.0,8.0,422.0,0.0,380.0,1961.0,59172.0,226300.0,836.0
24031703601,"Census Tract 7036.01, Montgomery County, Maryland",4812,3204.0,99907.0,392200.0,1710.0,2195.0,441.0,0.0,454.0,0.0,37.0,327.0,1358.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7036.01,4241.633942,2403.408264,564.8128647999999,10.02123155,437.9008241,0.0,795.4619435,3084.8322940000003,68642.36739,166486.4616,1274.1829
24031704300,"Census Tract 7043, Montgomery County, Maryland",4040,2622.0,176250.0,702800.0,2116.0,3412.0,34.0,9.0,206.0,0.0,0.0,116.0,272.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7043,3385.422539,3033.8979489999997,32.95544052,8.987847327999999,163.7785492,0.0,141.8082581,2504.613525,97025.00031,263700.0082,1825.531738
24031704401,"Census Tract 7044.01, Montgomery County, Maryland",3477,2461.0,184459.0,732800.0,1855.0,2309.0,155.0,0.0,473.0,0.0,0.0,106.0,434.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7044.01,3068.5899670000003,2371.312783,198.36890630000002,10.040358099999999,267.0792384,0.0,200.6939062,2259.4948050000003,96861.60541,287945.5222,1531.592976
24031705100,"Census Tract 7051, Montgomery County, Maryland",5168,3788.0,201534.0,929800.0,3077.0,4001.0,408.0,6.0,250.0,0.0,32.0,78.0,395.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7051,5000.617389999999,4381.659402,221.9788659,10.00469491,163.34507539999998,0.001242099,188.62155190000001,3600.942281,112137.5711,432023.5177,2830.298646
24031705400,"Census Tract 7054, Montgomery County, Maryland",2960,1972.0,250001.0,1225200.0,1833.0,2644.0,16.0,4.0,80.0,0.0,9.0,93.0,114.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7054,2726.0,2520.0,31.0,10.0,69.0,0.0,92.0,1854.0,160331.0,505700.0,1639.0
24031700905,"Census Tract 7009.05, Montgomery County, Maryland",4159,2779.0,73158.0,626300.0,2331.0,1868.0,156.0,57.0,1662.0,0.0,0.0,169.0,247.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7009.05,3945.65269,2009.441482,152.024848,9.003549719,1385.101759,0.0,358.0665572,2742.153659,47510.68707,246637.7045,1877.9090239999998
24031700711,"Census Tract 7007.11, Montgomery County, Maryland",6055,4055.0,103567.0,405600.0,2365.0,2482.0,812.0,0.0,1035.0,11.0,0.0,240.0,1475.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7007.11,6082.602447,3095.270996,951.4685668999999,18.98939323,1065.404907,1.998883486,896.4992676,3830.860107,77069.99772,198300.00600000002,2117.817139
24031700812,"Census Tract 7008.12, Montgomery County, Maryland",4113,3031.0,91671.0,284200.0,1397.0,1671.0,590.0,0.0,627.0,0.0,52.0,84.0,1089.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7008.12,4055.0,2609.0,589.0,14.0,338.0,0.0,486.0,2973.0,58750.0,122400.0,1247.0
24031700819,"Census Tract 7008.19, Montgomery County, Maryland",7106,4616.0,88125.0,276700.0,1802.0,2403.0,1822.0,0.0,782.0,0.0,21.0,210.0,1868.0,Washington,Washington-Arlington-Alexandria,MD,Montgomery County,Census Tract 7008.19,6151.0,4039.0,951.0,28.0,502.0,0.0,563.0,3901.0,63652.0,126700.0,1645.0
