geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US24510261100,"Census Tract 2611, Baltimore, MD",1792,161,1740,162,1528,153,108,100,12,14,55,33,0,12,0,12,37,27,0,12,37,27,52,33,46,34,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510270101,"Census Tract 2701.01, Baltimore, MD",1511,190,1469,190,651,71,702,180,0,12,9,11,0,12,69,87,38,38,0,12,38,38,42,24,28,25,0,12,4,8,0,12,0,12,10,12,0,12,0,12,0,12
14000US24510270102,"Census Tract 2701.02, Baltimore, MD",3705,560,3653,549,685,180,2661,565,16,27,32,47,10,21,162,248,87,73,0,12,87,73,52,74,52,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510270200,"Census Tract 2702, Baltimore, MD",1882,209,1817,217,895,143,776,161,23,35,7,8,0,12,17,26,99,87,5,7,94,87,65,45,52,44,0,12,5,8,0,12,0,12,5,9,3,6,3,6,0,12
14000US24510270301,"Census Tract 2703.01, Baltimore, MD",3173,359,3019,404,1041,195,1878,360,0,12,58,56,7,16,0,12,35,40,0,12,35,40,154,152,72,128,47,67,0,12,0,12,0,12,35,48,0,12,0,12,0,12
14000US24510270302,"Census Tract 2703.02, Baltimore, MD",1916,270,1789,266,898,210,840,297,0,12,5,9,0,12,26,41,20,23,0,12,20,23,127,110,82,110,0,12,0,12,0,12,0,12,36,46,9,13,9,13,0,12
14000US24510270401,"Census Tract 2704.01, Baltimore, MD",5625,697,5561,697,1653,421,3560,720,0,17,27,130,0,17,0,17,321,244,0,17,321,244,64,73,39,57,25,39,0,17,0,17,0,17,0,17,0,17,0,17,0,17
14000US24510270402,"Census Tract 2704.02, Baltimore, MD",3611,413,3524,423,1183,214,2159,379,0,12,63,69,0,12,0,12,119,145,0,12,119,145,87,56,21,24,54,48,0,12,0,12,0,12,1,9,11,19,0,12,11,19
14000US24510270501,"Census Tract 2705.01, Baltimore, MD",4130,385,3865,396,2038,225,1657,323,0,12,141,127,0,12,0,12,29,48,0,12,29,48,265,169,166,148,34,45,0,12,0,12,0,12,65,77,0,12,0,12,0,12
14000US24510270502,"Census Tract 2705.02, Baltimore, MD",4261,326,4213,328,1680,172,2399,311,16,25,68,87,6,10,0,12,44,30,0,12,44,30,48,59,10,13,38,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510270600,"Census Tract 2706, Baltimore, MD",4980,488,4942,484,1863,406,2950,507,0,12,0,12,0,12,0,12,129,87,0,12,129,87,38,41,27,33,0,12,0,12,0,12,0,12,0,12,11,18,0,12,11,18
14000US24510270701,"Census Tract 2707.01, Baltimore, MD",2468,381,2438,380,42,35,2376,387,0,12,0,12,0,12,0,12,20,27,9,15,11,22,30,36,19,32,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510270702,"Census Tract 2707.02, Baltimore, MD",1955,241,1920,241,555,71,1289,239,0,12,0,12,0,12,0,12,76,63,0,12,76,63,35,29,14,22,11,17,0,12,6,8,0,12,0,12,4,8,4,8,0,12
14000US24510270703,"Census Tract 2707.03, Baltimore, MD",2629,357,2530,353,1547,242,967,338,0,12,12,16,0,12,0,12,4,6,0,12,4,6,99,71,47,50,0,12,0,12,0,12,0,12,52,49,0,12,0,12,0,12
14000US24510270801,"Census Tract 2708.01, Baltimore, MD",4183,386,4125,384,535,131,3264,402,0,12,23,39,0,12,162,159,141,96,0,12,141,96,58,81,0,12,18,28,0,12,0,12,0,12,8,14,32,52,32,52,0,12
14000US24510270802,"Census Tract 2708.02, Baltimore, MD",5205,675,4942,707,173,109,4611,732,0,17,34,55,0,17,2,4,122,139,0,17,122,139,263,210,0,17,0,17,0,17,0,17,0,17,263,210,0,17,0,17,0,17
14000US24510270803,"Census Tract 2708.03, Baltimore, MD",6846,646,6781,629,560,199,6009,643,43,64,82,68,0,17,0,17,87,91,1,4,86,91,65,82,17,25,48,79,0,17,0,17,0,17,0,17,0,17,0,17,0,17
14000US24510270804,"Census Tract 2708.04, Baltimore, MD",3109,390,2674,305,1100,179,1469,366,0,12,73,50,0,12,0,12,32,42,0,12,32,42,435,314,406,311,10,16,0,12,19,34,0,12,0,12,0,12,0,12,0,12
14000US24510270805,"Census Tract 2708.05, Baltimore, MD",5312,492,5125,524,547,216,4333,480,0,17,78,97,0,17,20,31,147,106,0,17,147,106,187,131,18,21,92,88,15,22,0,17,0,17,49,73,13,20,13,20,0,17
14000US24510270901,"Census Tract 2709.01, Baltimore, MD",4348,597,4218,613,121,86,3995,564,0,12,0,12,0,12,0,12,102,117,83,117,19,22,130,120,0,12,95,103,0,12,0,12,0,12,0,12,35,56,0,12,35,56
