geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001009509,"Census Tract 95.09, District of Columbia, DC",3246,374,2893,382,253,134,2477,343,0,12,0,12,0,12,66,93,97,84,14,24,83,82,353,199,39,71,61,122,0,12,0,12,0,12,253,145,0,12,0,12,0,12
14000US11001009601,"Census Tract 96.01, District of Columbia, DC",2511,316,2496,318,69,50,2421,330,0,12,0,12,0,12,0,12,6,9,0,12,6,9,15,18,2,4,0,12,0,12,0,12,0,12,13,18,0,12,0,12,0,12
14000US11001009602,"Census Tract 96.02, District of Columbia, DC",3705,570,3565,535,18,20,3465,544,0,12,11,16,0,12,29,46,42,49,0,12,42,49,140,201,9,15,131,199,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009603,"Census Tract 96.03, District of Columbia, DC",4040,554,4001,560,10,23,3953,573,0,12,16,28,0,12,0,12,22,23,0,12,22,23,39,52,0,12,0,12,0,12,0,12,0,12,39,52,0,12,0,12,0,12
14000US11001009604,"Census Tract 96.04, District of Columbia, DC",2343,257,2257,269,66,42,2147,275,10,17,0,12,0,12,11,12,23,21,0,12,23,21,86,60,39,40,25,39,14,20,0,12,0,12,8,12,0,12,0,12,0,12
14000US11001009700,"Census Tract 97, District of Columbia, DC",3313,532,3225,499,25,33,3192,502,0,12,0,12,0,12,8,13,0,12,0,12,0,12,88,115,13,22,75,113,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009801,"Census Tract 98.01, District of Columbia, DC",2275,305,2189,311,34,27,2113,303,4,9,0,12,0,12,0,12,38,56,0,12,38,56,86,59,15,22,27,41,10,15,0,12,0,12,34,53,0,12,0,12,0,12
14000US11001009802,"Census Tract 98.02, District of Columbia, DC",2010,242,1950,236,11,12,1939,237,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,73,46,70,8,12,0,12,0,12,0,12,6,9,0,12,0,12,0,12
14000US11001009803,"Census Tract 98.03, District of Columbia, DC",3071,444,3071,444,0,12,3052,441,8,13,0,12,0,12,0,12,11,17,0,12,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009804,"Census Tract 98.04, District of Columbia, DC",2993,329,2788,318,28,34,2649,292,0,12,7,11,0,12,0,12,104,132,0,12,104,132,205,198,6,9,12,20,0,12,0,12,0,12,187,197,0,12,0,12,0,12
14000US11001009807,"Census Tract 98.07, District of Columbia, DC",3617,508,3613,509,134,115,3450,508,0,12,0,12,0,12,0,12,29,42,0,12,29,42,4,9,0,12,4,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009810,"Census Tract 98.10, District of Columbia, DC",2898,381,2895,381,3,6,2757,395,0,12,0,12,0,12,94,142,41,62,0,12,41,62,3,7,0,12,3,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009811,"Census Tract 98.11, District of Columbia, DC",4992,613,4982,615,38,60,4830,642,0,12,0,12,0,12,0,12,114,165,0,12,114,165,10,16,0,12,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009901,"Census Tract 99.01, District of Columbia, DC",2711,393,2618,394,100,55,2253,468,0,12,207,204,0,12,0,12,58,56,0,12,58,56,93,106,29,34,20,32,0,12,0,12,0,12,6,13,38,63,17,29,21,35
14000US11001009902,"Census Tract 99.02, District of Columbia, DC",3085,422,3059,418,47,50,2979,427,0,12,16,19,0,12,0,12,17,20,0,12,17,20,26,41,1,4,0,12,0,12,0,12,0,12,0,12,25,41,25,41,0,12
